User,Text,Creation_Date,SCNLP_MC_Very_Negative,SCNLP_MC_Negative,SCNLP_MC_Neutral,SCNLP_MC_Positive,SCNLP_MC_Very_Positive,TB_MC_Polarity,TB_MC_Subjectivity,VD_MC_Positive,VD_MC_Compound,VD_MC_Neutral,VD_MC_Negative
NewsToday,Make it 100 fast guys. I am holding 1700@88. feeling very greedy.,2019-07-23 13:18:00,0.00130972522723,0.0133675976144,0.9609889024390801,0.02363113353255,0.0007026411867399999,0.2,0.45,0.115,-0.2716,0.687,0.198
shivam1111,Zee business given sell call just now... Sell fast... To money rain,2019-07-23 13:18:00,0.08723984513458001,0.48243627025015995,0.27899203975314,0.11876060914480001,0.03257123571731,0.2,0.6,0.0,0.0,1.0,0.0
Tota7575,I know shorters pulse bit will increasing as it stays significantly on rs.92........Jai Ma.,2019-07-23 13:15:00,0.11990249707679,0.52694764473236,0.24245940433746,0.07883725186216001,0.03185320199123,0.375,0.875,0.0,0.0,1.0,0.0
madcapped,Ok. Will do that and hold you accountable for this for sure,2019-07-23 13:11:00,0.024077968398189997,0.12141405694524002,0.58453151372551,0.23415060668226997,0.03582585424878,0.5,0.8888888888888888,0.31,0.5423,0.69,0.0
saszyy,Looking weak in daily charts... will fall by eod... target 89.5-89-88.5,2019-07-23 13:10:00,0.21164970138695002,0.6436190922884699,0.13193705371761,0.00644448270016,0.006349669906810001,-0.1875,0.3125,0.0,-0.4404,0.775,0.225
Tota7575,Everyday big big block deal happened even today near about 6cr. block deal happened.....see nse.....I think this will effect soon..Jai Ma.,2019-07-23 13:09:00,0.06898293247753,0.45686324479431,0.29263837963937,0.14894033283123,0.03257511025757,-0.025,0.3,0.0,-0.7003,0.7659999999999999,0.23399999999999999
abhi_3883,fake news all around..Mr.Panickers are creating Panic...,2019-07-23 13:08:00,0.11133830667238001,0.71842741363209,0.14960501110858,0.01405634323367,0.00657292535327,-0.5,1.0,0.214,-0.2263,0.485,0.301
speculator_1,this is rising due to short covering after expiry yes bank will fall again.,2019-07-23 13:07:00,0.13814857991884,0.32652742312421,0.20774180773025,0.21337045984769,0.114211729379,-0.0625,0.3375,0.172,0.4019,0.828,0.0
sach71,today yes bank will cross 100 ... PL.note my words.,2019-07-23 13:01:00,0.00618287083474,0.020475175985349998,0.55391717317689,0.38069615506003,0.038728624942989995,0.0,0.0,0.231,0.4019,0.769,0.0
NvrSayNvr,oh warren buffet also started buying yes bank. oh Trump is also thinking to completely own yesbank,2019-07-23 12:57:00,0.06805995698019,0.47174918150679,0.40640457784228995,0.043925989900199996,0.00986029377054,0.6,1.0,0.14400000000000002,0.4019,0.856,0.0
raju1974,it will close in red..sell..sell..enter minimum ten words.,2019-07-23 12:18:00,0.00858508104109,0.052967773106859996,0.52755977736729,0.38967261396406,0.021214754520700003,0.0,0.0,0.0,0.0,1.0,0.0
meetzy,"today it will reached 100 before 2:15pm, guys hurry up buy yes bank it`s a golden change for us.",2019-07-23 12:18:00,0.07649833547897,0.41702313379441996,0.46150602039669997,0.03602095134237,0.008951558987540001,0.3,0.5,0.204,0.4767,0.7959999999999999,0.0
Sri89,just hold...going towards Rs. 98 within 1 hr. just watch.,2019-07-23 12:18:00,0.02997899687351,0.14565872380756,0.42982274133474,0.35638602132934993,0.03815351665483999,0.0,0.0,0.0,0.0,1.0,0.0
Kannanfrom1993inmarket,lot of accumulation at 92-93 levels. Should shoot up to 97 and then 114 levels,2019-07-23 12:15:00,0.08061305447564,0.46432083147821,0.30181429395094,0.12499860084459,0.02825321925061,0.0,0.0,0.0,-0.34,0.8540000000000001,0.146
rah1qq,96 is my target stay and watch definently it will touch.,2019-07-23 12:15:00,0.07528543222524,0.22726218261598002,0.27780153817378,0.31600035007104,0.10365049691396,0.0,0.0,0.0,0.0,1.0,0.0
Gamblersanil,I think Today yes bank will jump to highest number,2019-07-23 12:10:00,0.01309133061717,0.09191874423513001,0.5938184962678101,0.27857564796846,0.02259578091143,0.0,0.0,0.364,0.4588,0.636,0.0
Aavani,"There are no regulations which restrict Rana Kapoor from increasing his stake. However, in this case, pledge was created for saving his daughters from becoming defaulters. 1500 Cr is being created from the pledge, just imagine the side busi... ",2019-07-23 12:10:00,0.14433822151479,0.6421575677753001,0.15786261522723,0.04457923540563,0.01106236007705,0.45,0.8500000000000001,0.091,-0.2023,0.799,0.11
umarao,as far as yes bank is concerned..there was no issue with promoter holding..they are in compliance with RBI guide lines..,2019-07-23 12:07:00,0.01064300802376,0.11049473025728998,0.78938446086512,0.08407711087691,0.00540068997692,0.1,1.0,0.118,0.128,0.7859999999999999,0.096
franku,Yes bank seems to be diown as of now but i believe in the long term it will be of good use,2019-07-23 12:06:00,0.01683702026491,0.10058944794467001,0.43795807944753995,0.40859480208433,0.03602065025855,0.325,0.5,0.231,0.6908,0.769,0.0
knath2017,Looks like DHFL Deal with USA Co. Aeon has been done. Good impact on all NBFC and Banking. Hold.,2019-07-23 12:06:00,0.12039093696134,0.4780497728653,0.27113712627456,0.08986084075378001,0.04056132314503,0.7,0.6000000000000001,0.241,0.6597,0.759,0.0
mvbddggioug,"🔼🔼 - FREE STOCK TIPS🔔 Now Get Intraday,Options and Future calls Daily Free. Visit 👉👉 cutt.ly/hji2XV 👈👈",2019-07-23 08:26:00,0.12293170587271005,0.6405627005024,0.17812651087616,0.0425294723544,0.01584961039432,0.2,0.43125,0.344,0.8091,0.6559999999999999,0.0
Banambartrader,Very bad news - This gem fraud bank is landing at the indigo flight speed to level 53 very soon as per the Kotak security views. Shutting down of branches have started already. SEBI is sending a special invstigation team for special investi... ,2019-07-23 08:24:00,0.30031266880998997,0.52008645396677,0.15662487444798998,0.01050888840507,0.01246711437018,-0.030253968253968214,0.5196825396825396,0.152,-0.2006,0.7,0.14800000000000002
BSE/NSE Announcer,"The Exchange has received the disclosure under Regulation 31(1) and 31(2) of SEBI (Substantial Acquisition of Shares & Takeovers) Regulations, 2011 for Rana Kapoor & Morgan Credit Pvt Ltd",2019-07-23 08:23:00,0.22558631374352,0.57011692371437,0.18014172640226006,0.015054901664799999,0.009100134475049999,0.0,0.0,0.161,0.5859,0.8390000000000001,0.0
Tejjain,This share will not up suddenly..it is true that bank has got various serious problems and it will take more time... however in near future chances of good news because bank set up is well organised and its plus point..investment at CMP is ... ,2019-07-23 08:22:00,0.023635873376000004,0.1472558418006,0.5373735962653899,0.26245135855454,0.029283330003479997,0.18809523809523807,0.4916666666666666,0.223,0.7783,0.701,0.076
ewt2wt5,"🔼🔼 -- INTRADAY TIPS, Multibagger Tips, Options, Futures, MCX Daily Calls. VISIT 👉👉 cutt.ly/hji2XV 👈👈",2019-07-23 08:18:00,0.17771564628314,0.59803986537553,0.18812065475380998,0.023852158449810004,0.012271675137709999,0.0,0.0,0.0,0.0,1.0,0.0
Himanshu85,They always do the same and they did not even discuss about the yesterday`s yes bank rally. They just mention it like a normal news. If any other bank do the same then there expert will start giving the target and even discuss about it for ... ,2019-07-23 08:18:00,0.03343046289994,0.31280282374385,0.52281733315901,0.12117182725917999,0.00977755293801,0.00625,0.31875,0.15,0.765,0.85,0.0
pentasoft,if yes bank goes above 95 and stays there only then buy more or goes below 90 sell all your holdings may go to 70 also,2019-07-23 08:16:00,0.02018756844918,0.16940388123206002,0.6790774677385101,0.11959334853019,0.011737734050049999,0.16666666666666666,0.5333333333333333,0.097,0.4019,0.903,0.0
mahi__844549_2056,Great knowledge and experience ..... & want profit everyday then wzup @844 five four 92O five 6,2019-07-23 08:10:00,0.04697327739886,0.11885411206986,0.20423857812915,0.49349305262993,0.13644097977219,0.30000000000000004,0.675,0.409,0.8074,0.591,0.0
knath2017,Any Bad News. Please disclose it. CNBC also giving sell call and Zee Business buying call.,2019-07-23 08:06:00,0.00690357148276,0.05641829062316001,0.86874294753077,0.06308506518221,0.004850125181100001,-0.6999999999999998,0.6666666666666666,0.222,0.0516,0.613,0.165
indu83,Opening is very important today if go below 89...we can see 80 again so don`t buy early wait and watch.....,2019-07-23 08:04:00,0.02182643560347,0.08440497190011999,0.16140317455569,0.6187007874298001,0.11366463051091,0.31,0.65,0.099,0.2716,0.901,0.0
vdsvgsdgv,"🔼🔼 - FREE STOCK TIPS🔔 Now Get Intraday,Options and Future calls Daily Free. Visit 👉👉 cutt.ly/hji2XV 👈👈",2019-07-23 08:03:00,0.12293170587271005,0.6405627005024,0.17812651087616,0.0425294723544,0.01584961039432,0.2,0.43125,0.344,0.8091,0.6559999999999999,0.0
cvcvcvcvbcc,"🔼🔼 Get multibagger investment tips and ideas, SureShots Daily Calls. VISIT 👉👉 cutt.ly/hji2XV 👈👈",2019-07-23 08:03:00,0.14076737433022,0.44521213694665,0.2050633301717,0.14266302111915,0.06629413743229,0.0,0.0,0.0,0.0,1.0,0.0
AmarMeena,"even today CNBC given sell call on yes band but Zee Business given buy call and target 95, why CNBC always speak bad about yes Bank",2019-07-23 07:57:00,0.11094003290528999,0.6507327669715799,0.21502234163373002,0.01708874858998,0.00621610989941,-0.6999999999999998,0.6666666666666666,0.163,-0.09,0.6940000000000001,0.14300000000000002
alsonha,Yesterday cnbc awaas gave sell call on yes bank and the stock rallied today cnbc has given sell call on yes bank and DHFL and see today both will really.,2019-07-23 07:52:00,0.07969435389124001,0.38968638140409,0.26919726151867,0.20429311514257997,0.05712888804343,0.2,0.2,0.162,0.6597,0.838,0.0
navincal67,"There is nothing wrong with the business model of this bank, this is a tough time due to clean up of the past problems, in long term it will regain its lost glory",2019-07-23 07:50:00,0.37351098828671997,0.54476405759167,0.05478865757559,0.015606217067819996,0.011330079478200002,-0.15787037037037036,0.5763888888888891,0.212,0.503,0.63,0.158
bvvvsdf,💢💢 LIMITED TIME OFFER !! 💢💢 Intraday Future and Options Signals For Free 👉👉 cutt.ly/hji2XV 👈👈,2019-07-23 07:49:00,0.07699356240076,0.43210383483284004,0.33404966016676,0.12345147324325999,0.033401469356380005,0.0961309523809524,0.35595238095238096,0.189,0.3074,0.682,0.128
sy47y4e,🔼🔼 -- YIPPPE! Btst and Intraday calls for Huge Profits everyday click here 👉 cutt.ly/hji2XV 👈👈,2019-07-23 07:47:00,0.04679143446142,0.20876776486192009,0.30777107838244,0.35898643435106004,0.07768328794316999,0.10000000000000003,0.75,0.244,0.6696,0.7559999999999999,0.0
Ek4939,"91/110/120/ after...91/71/51/31. this will happen, avoid that is good go to Indus..HDFC...kota...and sbi look sbi 245 to 375...buy sbi invest for 5 year tgt more than 1000.",2019-07-23 07:46:00,0.10696609458799,0.57440515139508,0.1983313541570101,0.09190228482196001,0.028395115037970008,0.6,0.55,0.1,0.1779,0.825,0.076
Ek4939,"avoid this stock, nothing will happen...bank services very bad, price is very good, High 400. now 91, but.never invest this stock one day you will get big loss.like jet airways.",2019-07-23 07:36:00,0.32780458473308,0.51916392085204,0.12629393734687,0.012142924517089999,0.014594632550920004,0.04000000000000003,0.5716666666666668,0.08800000000000001,-0.4215,0.746,0.166
Card23,"have Rs 1 crore virtual cash for investing in shares, commodities, mutual funds, or fixed deposits.",2019-07-23 07:35:00,0.24219581504777,0.55906763083894,0.17933759270319,0.011489673123959999,0.00790928828613,0.1,0.2,0.136,0.29600000000000004,0.8640000000000001,0.0
xcxxcbxbx,🔼🔼 -- YIPPPE! Btst and Intraday calls for Huge Profits everyday click here 👉 cutt.ly/hji2XV 👈👈,2019-07-23 07:34:00,0.04679143446142,0.20876776486192009,0.30777107838244,0.35898643435106004,0.07768328794316999,0.10000000000000003,0.75,0.244,0.6696,0.7559999999999999,0.0
gautamtourani,"yes bank shorters will run for cover , Target 100 -120 - 140 -160 before next quarter results.",2019-07-23 07:29:00,0.19523534102596,0.61055414743611,0.15938973591448002,0.023643119085009996,0.011177656538430001,0.0,0.0,0.153,0.4019,0.847,0.0
kbc1,You tell them to deal with reputed banks like hdfcbank .They are all froudist groups They never repay loans of bank .Now you are telling again new deals means again loan defaults.Please stop this.,2019-07-23 07:24:00,0.06586228491101001,0.47146664330568,0.3896857734591,0.06139038676658,0.01159491155762,0.13636363636363635,0.4545454545454545,0.068,0.0772,0.872,0.06
mnmnbjhjkdshj,"🔼🔼 -- BUMPER NEWS !! Intraday,Options, Commodity and Future calls For Free 👉👉 cutt.ly/hji2XV 👈👈",2019-07-23 07:17:00,0.07140988470659,0.4312577282810301,0.36108726172578,0.10844798608833,0.02779713919826,0.2,0.4625,0.217,0.5972,0.7829999999999999,0.0
__SpTechTrade_4,because we are trader at analysis point cutt.ly/2Dgw5j,2019-07-23 07:16:00,0.01937609070812,0.28797840796434004,0.6477890110889301,0.041097025485769996,0.003759464752840001,0.0,0.0,0.0,0.0,1.0,0.0
ask_investment_academy54,Today Yes bank has broken all its resistance level. If it crosses 94 tomorrow then buy it for a Target of 100 . I am giving free tradding calls. My clientss had a profitt of 38k thru my telleee graamm channeell ASK INVESTMENT ACADEMY,2019-07-23 07:13:00,0.05473065570724,0.35894712803686,0.43276740200355,0.12730045319883,0.026254361053519998,0.0,0.6000000000000001,0.177,0.6486,0.758,0.065
Mezhatsu,"Invest like what top Mkts professional do. Let the price bounce up for sometime, first confirmed trend reversal, before entry....",2019-07-23 07:02:00,0.03000285721098,0.11830882152989998,0.2453002861624,0.50734879957483,0.09903923552188,0.3125,0.4833333333333333,0.193,0.5106,0.807,0.0
vipin1992,today`s it will be 110......yes bank has announced to bse and nse for his investor meet.....,2019-07-23 07:02:00,0.03620178829796,0.38670375672703994,0.5378347498630099,0.03349567888327,0.00576402622872,0.0,0.0,0.0,0.0,1.0,0.0
K KONDADI,Very good suggestion.Worth considering especially for retail investors,2019-07-23 06:59:00,0.00326201842511,0.00952994263181,0.09372913632775999,0.78687003017582,0.1066088724395,0.455,0.8900000000000001,0.313,0.4927,0.687,0.0
index01,stay away until healthy news...it will burn you badly... I m too in very bad loss,2019-07-23 06:49:00,0.6738974081373,0.27691991700699997,0.037583737715040005,0.00268027840868,0.008918658731990001,-0.3699999999999999,0.6777777777777777,0.135,-0.5678,0.5479999999999999,0.317
Ammy007,Buy for the target of 98 ans stoploss 88.....this share has the potential but may correct due to market volatility.,2019-07-23 06:14:00,0.035200166111879996,0.21684834618846,0.49044056464864,0.22800308438459002,0.02950783866643,-0.0625,0.6875,0.078,0.1531,0.922,0.0
Vikram Partap Singh,Buy and hold on upto my target or stop loss not hitted.,2019-07-23 03:54:00,0.08081404602495,0.5650813365765501,0.31730304639863,0.028663689006639997,0.008137881993239999,0.0,0.0,0.0,-0.5423,0.69,0.31
StocksMantraGuy,tomorrow gap up with 110 target. very undervalued stock at this point.,2019-07-23 03:39:00,0.02497130625818,0.22036805061951997,0.6584363266693599,0.08628023883457002,0.00994407761836,0.2,0.3,0.0,0.0,1.0,0.0
saurabhmit2015,"I would like to know, how to invest in sharing so, I buying this shares",2019-07-23 03:17:00,0.11725476062476,0.60746101472348,0.23603737216638,0.0300828952503,0.009163957235080001,0.0,0.0,0.448,0.7981,0.552,0.0
CS,It`s not profit numbers but asset quality that matters here check the provisions mate!!,2019-07-23 02:51:00,0.09133351027349,0.51143141150411,0.32901739962695004,0.05277446140551,0.01544321718994,0.0,0.0,0.282,0.5075,0.622,0.096
Vipskul,"it`s now big time for yes bank starting... all set, profit declared, now investors know this will go up, hence they will slowly buy this while this is fluctuating and thereafter this will go on higher levels, anyone with fair knowledge will... ",2019-07-23 02:09:00,0.10400409258741,0.6066304481988299,0.26226750575747004,0.02057963188857,0.00651832156772,0.12999999999999998,0.4,0.168,0.7845,0.8320000000000001,0.0
heyitsmepingpong,Just trial for the first time its trial version only,2019-07-23 01:55:00,0.01805953706874,0.14652210069652,0.5632711269562299,0.25086655733638,0.021280677942130004,0.125,0.6666666666666666,0.0,0.0,1.0,0.0
helicopter shot,because i want profit and I can see that i will definitely get profit with Yes Bank.,2019-07-23 01:49:00,0.00915856172984,0.02533149288086,0.09198159178641999,0.7352654694981701,0.13826288410471,0.0,0.5,0.581,0.8885,0.419,0.0
Mudit120,yes bank is growing now a days so i am looking for profit,2019-07-23 01:46:00,0.01989953159468,0.19754627224191,0.6675334020741199,0.10521416641553,0.009806627673760001,0.0,0.0,0.477,0.743,0.523,0.0
saddu@89,i think yes bank has great future and it will be beneficial for me,2019-07-23 01:37:00,0.01915444542416,0.06935687391003,0.25987243730477,0.53882337322523,0.11279287013581,0.4,0.4375,0.4920000000000001,0.8658,0.508,0.0
nandi22,Yes Bank has closed above 18th July High. I think it will try to break above 100 tomorrow.,2019-07-23 01:28:00,0.048263893377,0.20853410478676002,0.38198144418738,0.29608765990196,0.06513289774691,0.015,0.21,0.14400000000000002,0.4019,0.856,0.0
rpk,"Today`s move is a definitive move when Nifty was down more than 100 points in the start of the day, all negatives are in the price, nothing more or new (negative news) is going to come in near future, start accumulating and start averaging ... ",2019-07-23 01:17:00,0.18150245482378,0.60494775239626,0.1596264685282,0.03349259280637,0.02043073144539,0.11154401154401153,0.3812049062049062,0.059,0.4019,0.941,0.0
mann83788,gain share because i am very interested in share gains on different company its have more more profits...,2019-07-23 01:02:00,0.05641723936182,0.26395378226555,0.24968663075012,0.34940473869683003,0.08053760892567,0.33125,0.5625,0.524,0.9041,0.476,0.0
kulin123,1..stock is being dancing on the basis of f&o position.. 2..i think if market keep hope for next few days for any positive news then we can definitely see level near 100.......3..in case any good news really come like fund raising Or dhfl d... ,2019-07-23 00:43:00,0.00172683404945,0.010665592938299998,0.91462754234984,0.0684006716111,0.0045793590513000006,0.14675324675324672,0.3350649350649351,0.276,0.931,0.7240000000000001,0.0
Shivtra,tomorrow again it will go down . don`t get trapped. just wait for some time and watch . don`t buy or sell now,2019-07-23 00:26:00,0.0302606451847,0.20951018659314002,0.4567249757609,0.27277361369702996,0.03073057876422,-0.1777777777777778,0.14444444444444446,0.0,-0.5267,0.855,0.145
akksskings,"Get best Intraday, BTST, short term stocks with proper entry, SL, good profit booking and loss management strategy, search on teleGRam mr_research, earned 16K profit today.,",2019-07-23 00:24:00,0.21178094064838,0.5317817707720001,0.23598565248135,0.01117992286596,0.00927171323231,0.425,0.325,0.35600000000000004,0.8909999999999999,0.58,0.064
hjhhkjhkhjk5454,"🔼🔼 - FREE STOCK TIPS🔔 Now Get Intraday,Options and Future calls Daily Free. Visit 👉👉 cutt.ly/hji2XV 👈👈",2019-07-23 00:14:00,0.12293170587271005,0.6405627005024,0.17812651087616,0.0425294723544,0.01584961039432,0.2,0.43125,0.344,0.8091,0.6559999999999999,0.0
pshrikant__1986,sbhi. whoever buying at 90 levels r avginglike me. my current avg price is 107 and holding 2700 shares. started buying from 175 levels in small qty. sold all my profitable shares to avg yesbank.,2019-07-23 00:14:00,0.024077968398189997,0.12141405694524005,0.58453151372551,0.23415060668226997,0.03582585424878,-0.125,0.4,0.191,0.743,0.809,0.0
Bhadrveer,Now Going Up Side`s dont worry in short time go to 135 or 150,2019-07-23 00:14:00,0.008132691776810001,0.129009530623,0.83905156414793,0.021450176648630002,0.0023560368036300004,0.0,0.3,0.156,0.3412,0.8440000000000001,0.0
anil7240213106,buy buy buy only buy for single target 140 till this expiry jai shri krishna,2019-07-22 21:50:00,0.12845650635057002,0.6771001257119599,0.18097714203307,0.00863829341611,0.004827932488310001,-0.03571428571428571,0.6071428571428571,0.0,0.0,1.0,0.0
kbc1,you are right.tomorrow yesbank will touch 100 level . But after touching 100 again saleoff will happen and easily close near 92 level .See the tomorrow game.,2019-07-22 21:50:00,0.015501305353930003,0.05061656123179,0.2482909085598901,0.58417081790726,0.10142040694713,0.15833333333333335,0.5333333333333333,0.11,0.4767,0.89,0.0
dangel,falling in the market is due to Modi government ..their MLA wants to buy from lower level to cover their election expenses....,2019-07-22 21:43:00,0.06876171275128999,0.35843011291559,0.32476391832019,0.19964350765631,0.04840074835662,0.037500000000000006,0.2375,0.0,-0.4215,0.84,0.16
Ritchie1,i guess the positive news will start to trickle in shortly.Last 9 months have only been negative coverage.,2019-07-22 21:43:00,0.15849433457375,0.52962181204721,0.19531774913334998,0.07854164975796,0.03802445448773,-0.02424242424242424,0.6484848484848484,0.16899999999999998,-0.0258,0.657,0.174
omsai6,"Asia s worst-performing bank stock this quarter, plans to raise $1.2 billion over 18 months to bolster its capital buffer through a mix of public and private share sales, Chief Executive Officer Ravneet Gill said.This is very positive news ... ",2019-07-22 21:43:00,0.19626066310815,0.39340599455505,0.28723704613368,0.08850632690396001,0.034589969299160014,0.0984848484848485,0.3835858585858585,0.145,0.7264,0.855,0.0
Shree99999,Do you know How important is DHFL deal? dude... 3700 Cr Yes Bank made provisions. If it realise YB 50% fund raising targets complete,2019-07-22 21:42:00,0.048079706231500006,0.7141602998886301,0.21076742685439,0.022495317867640002,0.00449724915783,0.25,0.7,0.17,0.5423,0.83,0.0
akki3007,This time to invest in yesbank its best opportunity for short term and long-term investment. Next target 100 in this week Jay Goga,2019-07-22 21:41:00,0.049154259595210005,0.15526708050116,0.32080033310349,0.3694841356743401,0.10529419112579999,0.3333333333333333,0.2,0.25,0.7906,0.75,0.0
shyamgeeksofnifty,Free advice by @GeeksofNifty on Tele-gram related to stock market with Free calls everyday,2019-07-22 21:36:00,0.04027918660018,0.45081853531708,0.4844701164230301,0.02121188842149,0.00322027323823,0.15000000000000002,0.65,0.355,0.765,0.645,0.0
the_binge,post messages backed with evidence please. Nonsense will not be tolerated,2019-07-22 21:33:00,0.01028705909818,0.05109983882735,0.61599864091289,0.29415462025343997,0.02845984090814,0.0,0.0,0.241,-0.0772,0.5670000000000001,0.191
Tradingkabaap,opportunity knocks the door only once only buy & buy & hold for one year full..means four Quarters ***,2019-07-22 21:27:00,0.08333032759586,0.56004695131927,0.33081779670599,0.01998356883029,0.0058213555486,0.0,1.0,0.149,0.4215,0.851,0.0
Truekiller,hahaha...that big shot is me and will sell it tomorrow 🤣🤣🤣😀😃👍,2019-07-22 19:00:00,0.06225274052429,0.24808202338244,0.21847785451450005,0.37583319865374,0.09535418292503,0.0,0.1,0.0,0.0,1.0,0.0
_FZ,Some good news going to come out. All dip is bought by big hands.,2019-07-22 18:56:00,0.021636022122380003,0.09469715775635,0.25390273072285,0.54877624459934,0.08098784479907001,0.35,0.35000000000000003,0.182,0.4404,0.818,0.0
NHKG,Now share is ready for investors. Slowly we can start investing. Yes bank`s bad time gone. Please don`t sell the shares for loss. Instead of baring loss just wait and recover your losses.,2019-07-22 18:54:00,0.02945163695641,0.14966765898291,0.41837814774119,0.35045704848271003,0.05204550783678,-0.2666666666666666,0.5222222222222221,0.255,0.0258,0.514,0.231
MattuRiar9211,in the two big block deals it remains to be seen who was seller?,2019-07-22 18:51:00,0.0298388057766,0.35025019864569,0.58568856158578,0.02903695795624,0.0051854760357,0.0,0.1,0.0,-0.4404,0.818,0.182
Dharan29,People are still thinking or waiting that it will go down....down....but it shall be an unsuccessful wait.... Holders keep patience.,2019-07-22 18:44:00,0.19634795172536998,0.62228371205422,0.16115571958839,0.011876621821590001,0.00833599481043,0.0,0.0,0.0,-0.3612,0.884,0.116
prasanta21,After a long time yes bank closed above the block deal price. And this only one positive symptom as of now.lets see whats next???,2019-07-22 18:27:00,0.038266877134669995,0.30166391275293997,0.48213662035382004,0.15886381653806,0.0190687732205,0.012878787878787872,0.3575757575757576,0.23,0.6046,0.672,0.098
askinvestmentacademy2,Yes bank will fall to 70 before moving up again. Dont enter freshly. I am giving free trading calls. Today People got 31K profit today thru my trading calls in my telee gramm group - askinvestmentacademy,2019-07-22 18:27:00,0.07908658576242,0.4319584638142899,0.4088077783906301,0.06433614957017,0.0158110224625,0.35,0.65,0.274,0.8834,0.726,0.0
Mr. Vicky,because it gone down very low and now its time to raise,2019-07-22 18:20:00,0.07926086718980001,0.58581222254372,0.28557395553278997,0.04165193799872,0.00770101673496,-0.07777777777777779,0.33944444444444444,0.0,-0.3384,0.821,0.179
msrajudba9,tomorrow if cross 92.50 and sustain at this level then it will go to 100 levels,2019-07-22 18:13:00,0.01790947824705,0.1340899613898,0.60524425039148,0.22021172091844,0.02254458905323,0.0,0.0,0.0,0.0,1.0,0.0
bsubir71,California pension fund bought 41.50 lacs shares of DHFL at 53 on 18th July. Without any positive news this govt trust wont invest in DHFL. Something coming. wait,2019-07-22 18:12:00,0.15953202380064999,0.5586692413239499,0.17835663497003001,0.06803521577844,0.035406884126919995,0.2272727272727273,0.5454545454545454,0.165,0.3769,0.748,0.087
Akshat401,closing price will be settled the average price of last 30 min sellers and buyers will be adjusted accordingly....,2019-07-22 18:03:00,0.050656418024800004,0.46287338386797994,0.42439548641641994,0.05280143440199,0.009273277288819999,-0.075,0.2333333333333333,0.0,0.0,1.0,0.0
rishabgeeksofnifty,Invest in Options with just 20K in hand and get 700-2000 Profit per call @Geeksofnifty on Tele-gram. Up on Tele-gram with just 15-20K Investment,2019-07-22 18:00:00,0.21142554736891,0.6577409640345699,0.11084907638801,0.01018373316745,0.00980067904107,0.0,0.0,0.217,0.7269,0.7829999999999999,0.0
